product_sku,warehouse,current_stock,reorder_point
SKU-0001,Hyderabad,1043,120
SKU-0002,Delhi-NCR,96,96
SKU-0003,Pune,327,128
SKU-0004,Delhi-NCR,1237,266
SKU-0005,Chennai,781,247
SKU-0006,Bengaluru,1122,289
SKU-0007,Pune,106,333
SKU-0008,Pune,403,419
SKU-0009,Pune,620,324
SKU-0010,Bengaluru,228,224
SKU-0011,Hyderabad,345,272
SKU-0012,Chennai,539,51
SKU-0013,Chennai,555,440
SKU-0014,Pune,611,104
SKU-0015,Mumbai,1306,309
SKU-0016,Mumbai,765,128
SKU-0017,Delhi-NCR,1162,326
SKU-0018,Hyderabad,769,356
SKU-0019,Bengaluru,229,59
SKU-0020,Mumbai,878,499
SKU-0021,Chennai,493,79
SKU-0022,Pune,175,90
SKU-0023,Chennai,189,298
SKU-0024,Mumbai,449,442
SKU-0025,Chennai,1110,387
SKU-0026,Chennai,542,134
SKU-0027,Hyderabad,1488,496
SKU-0028,Pune,1104,158
SKU-0029,Pune,564,403
SKU-0030,Pune,817,209
SKU-0031,Hyderabad,896,382
SKU-0032,Delhi-NCR,988,314
SKU-0033,Delhi-NCR,460,176
SKU-0034,Chennai,43,223
SKU-0035,Chennai,554,333
SKU-0036,Delhi-NCR,14,162
SKU-0037,Mumbai,282,412
SKU-0038,Bengaluru,64,84
SKU-0039,Mumbai,1052,86
SKU-0040,Mumbai,994,192
SKU-0041,Pune,346,326
SKU-0042,Hyderabad,1272,342
SKU-0043,Hyderabad,968,174
SKU-0044,Delhi-NCR,193,147
SKU-0045,Bengaluru,1019,387
SKU-0046,Hyderabad,857,266
SKU-0047,Pune,352,492
SKU-0048,Delhi-NCR,335,384
SKU-0049,Delhi-NCR,700,256
SKU-0050,Mumbai,392,177
SKU-0051,Mumbai,992,324
SKU-0052,Bengaluru,391,266
SKU-0053,Delhi-NCR,547,286
SKU-0054,Delhi-NCR,1153,276
SKU-0055,Delhi-NCR,30,75
SKU-0056,Mumbai,669,435
SKU-0057,Hyderabad,1002,258
SKU-0058,Delhi-NCR,821,159
SKU-0059,Delhi-NCR,776,134
SKU-0060,Hyderabad,543,249
SKU-0061,Pune,866,196
SKU-0062,Pune,1312,424
SKU-0063,Mumbai,1163,417
SKU-0064,Mumbai,607,147
SKU-0065,Pune,124,79
SKU-0066,Delhi-NCR,117,210
SKU-0067,Chennai,1075,349
SKU-0068,Mumbai,1323,486
SKU-0069,Delhi-NCR,1040,79
SKU-0070,Delhi-NCR,615,485
SKU-0071,Pune,243,354
SKU-0072,Hyderabad,722,491
SKU-0073,Chennai,504,111
SKU-0074,Chennai,185,354
SKU-0075,Pune,858,91
SKU-0076,Chennai,1255,348
SKU-0077,Mumbai,35,250
SKU-0078,Mumbai,785,392
SKU-0079,Mumbai,810,185
SKU-0080,Hyderabad,757,393
SKU-0081,Delhi-NCR,148,211
SKU-0082,Delhi-NCR,1187,284
SKU-0083,Chennai,436,87
SKU-0084,Bengaluru,271,185
SKU-0085,Bengaluru,500,85
SKU-0086,Hyderabad,323,195
SKU-0087,Pune,1338,476
SKU-0088,Delhi-NCR,1083,204
SKU-0089,Bengaluru,1276,391
SKU-0090,Mumbai,351,389
SKU-0091,Delhi-NCR,236,185
SKU-0092,Mumbai,1313,430
SKU-0093,Chennai,577,189
SKU-0094,Mumbai,702,157
SKU-0095,Chennai,691,401
SKU-0096,Delhi-NCR,564,300
SKU-0097,Bengaluru,867,97
SKU-0098,Bengaluru,7,72
SKU-0099,Pune,461,444
SKU-0100,Pune,330,184
SKU-0101,Pune,1155,276
SKU-0102,Delhi-NCR,1166,268
SKU-0103,Pune,154,107
SKU-0104,Delhi-NCR,1117,126
SKU-0105,Chennai,983,477
SKU-0106,Hyderabad,385,332
SKU-0107,Bengaluru,85,115
SKU-0108,Bengaluru,81,236
SKU-0109,Pune,511,157
SKU-0110,Chennai,724,102
SKU-0111,Chennai,1079,497
SKU-0112,Mumbai,499,433
SKU-0113,Mumbai,574,492
SKU-0114,Mumbai,61,261
SKU-0115,Hyderabad,857,427
SKU-0116,Bengaluru,718,460
SKU-0117,Hyderabad,221,131
SKU-0118,Hyderabad,325,496
SKU-0119,Hyderabad,408,163
SKU-0120,Mumbai,625,229
SKU-0121,Pune,48,164
SKU-0122,Bengaluru,816,148
SKU-0123,Bengaluru,142,192
SKU-0124,Hyderabad,1043,229
SKU-0125,Bengaluru,1245,397
SKU-0126,Bengaluru,236,64
SKU-0127,Delhi-NCR,543,141
SKU-0128,Bengaluru,889,105
SKU-0129,Hyderabad,815,423
SKU-0130,Delhi-NCR,1157,360
SKU-0131,Mumbai,1180,247
SKU-0132,Pune,90,180
SKU-0133,Chennai,26,273
SKU-0134,Pune,1314,462
SKU-0135,Bengaluru,571,418
SKU-0136,Pune,163,270
SKU-0137,Pune,642,219
SKU-0138,Pune,489,484
SKU-0139,Bengaluru,1038,203
SKU-0140,Bengaluru,977,391
SKU-0141,Chennai,611,256
SKU-0142,Hyderabad,392,115
SKU-0143,Pune,916,390
SKU-0144,Chennai,539,433
SKU-0145,Hyderabad,707,341
SKU-0146,Bengaluru,80,330
SKU-0147,Hyderabad,430,196
SKU-0148,Chennai,1389,452
SKU-0149,Hyderabad,794,385
SKU-0150,Pune,931,276
