order_number,customer_name,product_sku,quantity,status
ORD-10001,Customer 0001,SKU-0055,271,in_transit
ORD-10002,Customer 0002,SKU-0044,347,processing
ORD-10003,Customer 0003,SKU-0132,349,delayed
ORD-10004,Customer 0004,SKU-0086,57,delivered
ORD-10005,Customer 0005,SKU-0061,354,confirmed
ORD-10006,Customer 0006,SKU-0051,85,processing
ORD-10007,Customer 0007,SKU-0063,253,delayed
ORD-10008,Customer 0008,SKU-0019,243,in_transit
ORD-10009,Customer 0009,SKU-0148,109,delayed
ORD-10010,Customer 0010,SKU-0099,263,confirmed
ORD-10011,Customer 0011,SKU-0038,345,delayed
ORD-10012,Customer 0012,SKU-0028,408,in_transit
ORD-10013,Customer 0013,SKU-0046,421,delivered
ORD-10014,Customer 0014,SKU-0133,247,processing
ORD-10015,Customer 0015,SKU-0064,479,delivered
ORD-10016,Customer 0016,SKU-0117,78,delivered
ORD-10017,Customer 0017,SKU-0136,296,in_transit
ORD-10018,Customer 0018,SKU-0114,323,delivered
ORD-10019,Customer 0019,SKU-0130,228,delivered
ORD-10020,Customer 0020,SKU-0141,238,delivered
ORD-10021,Customer 0021,SKU-0122,240,confirmed
ORD-10022,Customer 0022,SKU-0064,440,delayed
ORD-10023,Customer 0023,SKU-0134,258,delayed
ORD-10024,Customer 0024,SKU-0071,235,processing
ORD-10025,Customer 0025,SKU-0074,130,confirmed
ORD-10026,Customer 0026,SKU-0082,467,in_transit
ORD-10027,Customer 0027,SKU-0036,87,confirmed
ORD-10028,Customer 0028,SKU-0040,371,confirmed
ORD-10029,Customer 0029,SKU-0107,218,confirmed
ORD-10030,Customer 0030,SKU-0120,222,processing
ORD-10031,Customer 0031,SKU-0108,209,delivered
ORD-10032,Customer 0032,SKU-0150,494,delayed
ORD-10033,Customer 0033,SKU-0148,204,in_transit
ORD-10034,Customer 0034,SKU-0091,162,delayed
ORD-10035,Customer 0035,SKU-0108,285,delayed
ORD-10036,Customer 0036,SKU-0140,419,delayed
ORD-10037,Customer 0037,SKU-0057,259,confirmed
ORD-10038,Customer 0038,SKU-0112,258,processing
ORD-10039,Customer 0039,SKU-0087,352,delayed
ORD-10040,Customer 0040,SKU-0104,380,confirmed
ORD-10041,Customer 0041,SKU-0120,480,processing
ORD-10042,Customer 0042,SKU-0137,23,delivered
ORD-10043,Customer 0043,SKU-0145,349,processing
ORD-10044,Customer 0044,SKU-0110,79,delivered
ORD-10045,Customer 0045,SKU-0047,35,confirmed
ORD-10046,Customer 0046,SKU-0084,118,in_transit
ORD-10047,Customer 0047,SKU-0087,399,delivered
ORD-10048,Customer 0048,SKU-0072,395,delivered
ORD-10049,Customer 0049,SKU-0108,139,delivered
ORD-10050,Customer 0050,SKU-0121,19,delayed
ORD-10051,Customer 0051,SKU-0014,497,confirmed
ORD-10052,Customer 0052,SKU-0018,409,delivered
ORD-10053,Customer 0053,SKU-0011,396,processing
ORD-10054,Customer 0054,SKU-0064,112,delivered
ORD-10055,Customer 0055,SKU-0040,132,processing
ORD-10056,Customer 0056,SKU-0030,298,delivered
ORD-10057,Customer 0057,SKU-0120,368,confirmed
ORD-10058,Customer 0058,SKU-0095,95,delayed
ORD-10059,Customer 0059,SKU-0030,408,delivered
ORD-10060,Customer 0060,SKU-0080,65,in_transit
ORD-10061,Customer 0061,SKU-0080,304,delayed
ORD-10062,Customer 0062,SKU-0097,213,delivered
ORD-10063,Customer 0063,SKU-0051,48,in_transit
ORD-10064,Customer 0064,SKU-0063,62,delayed
ORD-10065,Customer 0065,SKU-0078,445,delayed
ORD-10066,Customer 0066,SKU-0031,417,delivered
ORD-10067,Customer 0067,SKU-0011,187,in_transit
ORD-10068,Customer 0068,SKU-0095,45,in_transit
ORD-10069,Customer 0069,SKU-0088,16,delivered
ORD-10070,Customer 0070,SKU-0126,64,in_transit
ORD-10071,Customer 0071,SKU-0093,335,delivered
ORD-10072,Customer 0072,SKU-0118,372,confirmed
ORD-10073,Customer 0073,SKU-0046,385,in_transit
ORD-10074,Customer 0074,SKU-0070,325,delivered
ORD-10075,Customer 0075,SKU-0138,406,in_transit
ORD-10076,Customer 0076,SKU-0112,432,delayed
ORD-10077,Customer 0077,SKU-0069,175,delivered
ORD-10078,Customer 0078,SKU-0023,152,delivered
ORD-10079,Customer 0079,SKU-0063,394,in_transit
ORD-10080,Customer 0080,SKU-0098,182,processing
ORD-10081,Customer 0081,SKU-0084,103,in_transit
ORD-10082,Customer 0082,SKU-0091,418,confirmed
ORD-10083,Customer 0083,SKU-0072,460,in_transit
ORD-10084,Customer 0084,SKU-0071,294,processing
ORD-10085,Customer 0085,SKU-0049,53,confirmed
ORD-10086,Customer 0086,SKU-0105,260,in_transit
ORD-10087,Customer 0087,SKU-0062,363,in_transit
ORD-10088,Customer 0088,SKU-0126,239,delayed
ORD-10089,Customer 0089,SKU-0024,160,confirmed
ORD-10090,Customer 0090,SKU-0063,166,delayed
ORD-10091,Customer 0091,SKU-0095,252,in_transit
ORD-10092,Customer 0092,SKU-0089,227,delivered
ORD-10093,Customer 0093,SKU-0141,179,confirmed
ORD-10094,Customer 0094,SKU-0117,148,confirmed
ORD-10095,Customer 0095,SKU-0060,71,delayed
ORD-10096,Customer 0096,SKU-0081,71,delayed
