supplier_code,name,location,reliability_score
SUP-001,Supplier 001 Industries,Mumbai,56.1
SUP-002,Supplier 002 Industries,Chennai,65.78
SUP-003,Supplier 003 Industries,Bengaluru,87.4
SUP-004,Supplier 004 Industries,Jaipur,58.83
SUP-005,Supplier 005 Industries,Ahmedabad,56.4
SUP-006,Supplier 006 Industries,Mumbai,64.62
SUP-007,Supplier 007 Industries,Jaipur,81.49
SUP-008,Supplier 008 Industries,Jaipur,63.75
SUP-009,Supplier 009 Industries,Jaipur,73.46
SUP-010,Supplier 010 Industries,Kolkata,80.93
SUP-011,Supplier 011 Industries,Delhi,88.39
SUP-012,Supplier 012 Industries,Bengaluru,85.72
SUP-013,Supplier 013 Industries,Pune,67.23
SUP-014,Supplier 014 Industries,Hyderabad,97.12
SUP-015,Supplier 015 Industries,Pune,59.5
SUP-016,Supplier 016 Industries,Ahmedabad,59.26
SUP-017,Supplier 017 Industries,Pune,62.5
SUP-018,Supplier 018 Industries,Delhi,87.11
SUP-019,Supplier 019 Industries,Jaipur,60.49
SUP-020,Supplier 020 Industries,Ahmedabad,58.47
SUP-021,Supplier 021 Industries,Chennai,91.49
SUP-022,Supplier 022 Industries,Lucknow,93.96
SUP-023,Supplier 023 Industries,Pune,80.4
SUP-024,Supplier 024 Industries,Mumbai,57.02
SUP-025,Supplier 025 Industries,Hyderabad,89.02
SUP-026,Supplier 026 Industries,Mumbai,92.63
SUP-027,Supplier 027 Industries,Mumbai,71.73
SUP-028,Supplier 028 Industries,Kolkata,82.97
SUP-029,Supplier 029 Industries,Pune,62.16
SUP-030,Supplier 030 Industries,Pune,64.22
SUP-031,Supplier 031 Industries,Chennai,85.88
SUP-032,Supplier 032 Industries,Mumbai,81.8
SUP-033,Supplier 033 Industries,Bengaluru,78.5
SUP-034,Supplier 034 Industries,Hyderabad,62.19
SUP-035,Supplier 035 Industries,Ahmedabad,66.88
SUP-036,Supplier 036 Industries,Jaipur,64.66
SUP-037,Supplier 037 Industries,Pune,92.09
SUP-038,Supplier 038 Industries,Delhi,65.08
SUP-039,Supplier 039 Industries,Delhi,90.42
SUP-040,Supplier 040 Industries,Ahmedabad,66.78
SUP-041,Supplier 041 Industries,Hyderabad,95.18
SUP-042,Supplier 042 Industries,Lucknow,93.56
SUP-043,Supplier 043 Industries,Pune,64.36
SUP-044,Supplier 044 Industries,Kolkata,72.41
SUP-045,Supplier 045 Industries,Kolkata,61.29
SUP-046,Supplier 046 Industries,Bengaluru,65.85
SUP-047,Supplier 047 Industries,Jaipur,78.72
SUP-048,Supplier 048 Industries,Lucknow,73.85
SUP-049,Supplier 049 Industries,Lucknow,72.57
SUP-050,Supplier 050 Industries,Hyderabad,98.88
